top.pd2.mem0,time(s)
2.2e-05,0,1e-06
2.2e-05,0,4e-06
2.2e-05,0,7e-06
2.2e-05,0,1e-05
2.2e-05,0,1.3e-05
2.2e-05,0,1.6e-05
2.2e-05,0,1.9e-05
2.2e-05,0,2.2e-05
2.2e-05,0,2.5e-05
2.2e-05,0,2.8e-05
2.2e-05,0,3.1e-05
2.2e-05,0,3.4e-05
2.2e-05,0,3.7e-05
2.2e-05,0,4e-05
2.2e-05,0,4.3e-05
2.2e-05,0,4.6e-05
2.2e-05,0,4.9e-05
2.2e-05,0,5.2e-05
2.2e-05,0,5.5e-05
2.2e-05,0,5.8e-05
2.2e-05,0,6.1e-05
2.2e-05,0,6.4e-05
2.2e-05,0,6.7e-05
2.2e-05,0,7e-05
2.2e-05,0,7.3e-05
2.2e-05,0,7.6e-05
2.2e-05,0,7.9e-05
2.2e-05,0,8.2e-05
2.2e-05,0,8.5e-05
2.2e-05,0,8.8e-05
2.2e-05,0,9.1e-05
2.2e-05,0,9.4e-05
2.2e-05,0,9.7e-05
2.2e-05,0,0.0001
2.2e-05,0,0.000103
2.2e-05,0,0.000106
2.2e-05,0,0.000109
1.6e-05,0,0.000112
1.3e-05,0,0.000115
1.3e-05,0,0.000118
1.3e-05,0,0.000121
1.3e-05,0,0.000124
1.3e-05,0,0.000127
1.3e-05,0,0.00013
1.3e-05,0,0.000133
1.3e-05,0,0.000136
1.3e-05,0,0.000139
1.9e-05,0,0.000142
2.2e-05,0,0.000145
2.2e-05,0,0.000148
2.2e-05,0,0.000151
2.2e-05,0,0.000154
2.2e-05,0,0.000157
2.2e-05,0,0.00016
2.2e-05,0,0.000163
2.2e-05,0,0.000166
2.2e-05,0,0.000169
2.2e-05,0,0.000172
2.2e-05,0,0.000175
2.2e-05,0,0.000178
2.2e-05,0,0.000181
2.2e-05,0,0.000184
2.2e-05,0,0.000187
2.2e-05,0,0.00019
2.2e-05,0,0.000193
2.2e-05,0,0.000196
2.2e-05,0,0.000199
2.2e-05,0,0.000202
2.2e-05,0,0.000205
2.2e-05,0,0.000208
2.2e-05,0,0.000211
2.2e-05,0,0.000214
2.2e-05,0,0.000217
2.2e-05,0,0.00022
2.2e-05,0,0.000223
2.2e-05,0,0.000226
2.2e-05,0,0.000229
2.2e-05,0,0.000232
2.2e-05,0,0.000235
2.2e-05,0,0.000238
2.2e-05,0,0.000241
2.2e-05,0,0.000244
1.9e-05,0,0.000247
1.3e-05,0,0.00025
1.3e-05,0,0.000253
1.3e-05,0,0.000256
1.3e-05,0,0.000259
1.3e-05,0,0.000262
1.6e-05,0,0.000265
2.2e-05,0,0.000268
2.2e-05,0,0.000271
2.2e-05,0,0.000274
2.2e-05,0,0.000277
2.2e-05,0,0.00028
2.2e-05,0,0.000283
2.2e-05,0,0.000286
1.9e-05,0,0.000289
1.3e-05,0,0.000292
1.3e-05,0,0.000295
1.3e-05,0,0.000298
1.3e-05,0,0.000301
1.3e-05,0,0.000304
1.3e-05,0,0.000307
1.9e-05,0,0.00031
2.2e-05,0,0.000313
2.2e-05,0,0.000316
2.2e-05,0,0.000319
2.2e-05,0,0.000322
2.2e-05,0,0.000325
2.2e-05,0,0.000328
2.2e-05,0,0.000331
2.2e-05,0,0.000334
2.2e-05,0,0.000337
2.2e-05,0,0.00034
2.2e-05,0,0.000343
2.2e-05,0,0.000346
2.2e-05,0,0.000349
2.2e-05,0,0.000352
2.2e-05,0,0.000355
2.2e-05,0,0.000358
2.2e-05,0,0.000361
2.2e-05,0,0.000364
2.2e-05,0,0.000367
2.2e-05,0,0.00037
2.2e-05,0,0.000373
2.2e-05,0,0.000376
2.2e-05,0,0.000379
2.2e-05,0,0.000382
2.2e-05,0,0.000385
2.2e-05,0,0.000388
2.2e-05,0,0.000391
2.2e-05,0,0.000394
2.2e-05,0,0.000397
2.2e-05,0,0.0004
2.2e-05,0,0.000403
2.2e-05,0,0.000406
2.2e-05,0,0.000409
2.2e-05,0,0.000412
2.2e-05,0,0.000415
2.2e-05,0,0.000418
2.2e-05,0,0.000421
2.2e-05,0,0.000424
2.2e-05,0,0.000427
2.2e-05,0,0.00043
2.2e-05,0,0.000433
1.6e-05,0,0.000436
1.3e-05,0,0.000439
1.3e-05,0,0.000442
1.3e-05,0,0.000445
1.3e-05,0,0.000448
1.3e-05,0,0.000451
1.3e-05,0,0.000454
1.3e-05,0,0.000457
1.3e-05,0,0.00046
1.3e-05,0,0.000463
1.3e-05,0,0.000466
1.3e-05,0,0.000469
1.3e-05,0,0.000472
1.3e-05,0,0.000475
1.9e-05,0,0.000478
2.2e-05,0,0.000481
2.2e-05,0,0.000484
2.2e-05,0,0.000487
2.2e-05,0,0.00049
1.9e-05,0,0.000493
1.3e-05,0,0.000496
