moduleID,module_current,time(s)
cpu0,0,1e-06
cpu1,0,1e-06
mem0,0,1e-06
mem1,0,1e-06
cpu0,0.4,2e-06
cpu1,0.5,2e-06
mem0,5.5,2e-06
mem1,24,2e-06
cpu0,0.4,3e-06
cpu1,0.5,3e-06
mem0,5.5,3e-06
mem1,24,3e-06
cpu0,0.400001,4e-06
cpu1,0.5,4e-06
mem0,5.5,4e-06
mem1,24,4e-06
cpu0,0.4,5e-06
cpu1,0.5,5e-06
mem0,5.5,5e-06
mem1,24,5e-06
cpu0,0.400001,6e-06
cpu1,0.500001,6e-06
mem0,5.5,6e-06
mem1,24,6e-06
cpu0,0.4,7e-06
cpu1,0.5,7e-06
mem0,5.5,7e-06
mem1,24,7e-06
cpu0,0.400001,8e-06
cpu1,0.5,8e-06
mem0,5.5,8e-06
mem1,24,8e-06
cpu0,0.4,9e-06
cpu1,0.5,9e-06
mem0,5.5,9e-06
mem1,24,9e-06
cpu0,0.400001,1e-05
cpu1,0.5,1e-05
mem0,5.5,1e-05
mem1,24,1e-05
cpu0,0.4,1.1e-05
cpu1,0.5,1.1e-05
mem0,5.5,1.1e-05
mem1,24,1.1e-05
cpu0,0.400001,1.2e-05
cpu1,0.5,1.2e-05
mem0,5.5,1.2e-05
mem1,24,1.2e-05
cpu0,0.4,1.3e-05
cpu1,0.5,1.3e-05
mem0,5.5,1.3e-05
mem1,24,1.3e-05
cpu0,0.400001,1.4e-05
cpu1,0.5,1.4e-05
mem0,5.5,1.4e-05
mem1,24,1.4e-05
cpu0,0.4,1.5e-05
cpu1,0.5,1.5e-05
mem0,5.5,1.5e-05
mem1,24,1.5e-05
cpu0,0.400001,1.6e-05
cpu1,0.500001,1.6e-05
mem0,5.5,1.6e-05
mem1,12,1.6e-05
cpu0,0.4,1.7e-05
cpu1,0.5,1.7e-05
mem0,5.5,1.7e-05
mem1,12,1.7e-05
cpu0,0.400001,1.8e-05
cpu1,0.500001,1.8e-05
mem0,5.5,1.8e-05
mem1,12,1.8e-05
cpu0,0.4,1.9e-05
cpu1,0.5,1.9e-05
mem0,5.5,1.9e-05
mem1,12,1.9e-05
cpu0,0.200001,2e-05
cpu1,0.500001,2e-05
mem0,5.5,2e-05
mem1,12,2e-05
cpu0,0.2,2.1e-05
cpu1,0.5,2.1e-05
mem0,5.5,2.1e-05
mem1,12,2.1e-05
cpu0,0.200001,2.2e-05
cpu1,0.500001,2.2e-05
mem0,5.5,2.2e-05
mem1,12,2.2e-05
cpu0,0.2,2.3e-05
cpu1,0.5,2.3e-05
mem0,5.5,2.3e-05
mem1,12,2.3e-05
cpu0,0.200001,2.4e-05
cpu1,0.500001,2.4e-05
mem0,5.5,2.4e-05
mem1,24,2.4e-05
cpu0,0.2,2.5e-05
cpu1,0.5,2.5e-05
mem0,5.5,2.5e-05
mem1,24,2.5e-05
cpu0,0.200001,2.6e-05
cpu1,0.500001,2.6e-05
