m_btransportReadEventId,m_btransportWriteEventId,time(s)
0,0,0,1e-06
0,1.6e-05,1.6e-05,4e-06
2.66667e-05,0,2.66667e-05,7e-06
0,0,0,1e-05
1.33333e-05,1.6e-05,2.93333e-05,1.3e-05
0,1.6e-05,1.6e-05,1.6e-05
0,0,0,1.9e-05
0,1.6e-05,1.6e-05,2.2e-05
0,3.2e-05,3.2e-05,2.5e-05
0,0,0,2.8e-05
2.66667e-05,0,2.66667e-05,3.1e-05
0,1.6e-05,1.6e-05,3.4e-05
2.66667e-05,0,2.66667e-05,3.7e-05
0,1.6e-05,1.6e-05,4e-05
2.66667e-05,0,2.66667e-05,4.3e-05
0,0,0,4.6e-05
1.33333e-05,1.6e-05,2.93333e-05,4.9e-05
0,0,0,5.2e-05
0,3.2e-05,3.2e-05,5.5e-05
1.33333e-05,0,1.33333e-05,5.8e-05
1.33333e-05,1.6e-05,2.93333e-05,6.1e-05
0,0,0,6.4e-05
1.33333e-05,1.6e-05,2.93333e-05,6.7e-05
0,0,0,7e-05
0,0,0,7.3e-05
0,0,0,7.6e-05
0,1.6e-05,1.6e-05,7.9e-05
0,0,0,8.2e-05
0,3.2e-05,3.2e-05,8.5e-05
0,0,0,8.8e-05
0,0,0,9.1e-05
1.33333e-05,0,1.33333e-05,9.4e-05
0,0,0,9.7e-05
0,0,0,0.0001
1.33333e-05,1.6e-05,2.93333e-05,0.000103
0,0,0,0.000106
0,0,0,0.000109
1.33333e-05,0,1.33333e-05,0.000112
2.66667e-05,0,2.66667e-05,0.000115
0,0,0,0.000118
1.33333e-05,1.6e-05,2.93333e-05,0.000121
0,0,0,0.000124
0,1.6e-05,1.6e-05,0.000127
0,0,0,0.00013
0,0,0,0.000133
0,0,0,0.000136
0,3.2e-05,3.2e-05,0.000139
0,0,0,0.000142
0,0,0,0.000145
0,0,0,0.000148
0,0,0,0.000151
0,0,0,0.000154
0,3.2e-05,3.2e-05,0.000157
0,0,0,0.00016
0,0,0,0.000163
0,0,0,0.000166
0,0,0,0.000169
0,0,0,0.000172
0,1.6e-05,1.6e-05,0.000175
0,1.6e-05,1.6e-05,0.000178
2.66667e-05,0,2.66667e-05,0.000181
1.33333e-05,0,1.33333e-05,0.000184
1.33333e-05,1.6e-05,2.93333e-05,0.000187
0,0,0,0.00019
1.33333e-05,0,1.33333e-05,0.000193
1.33333e-05,0,1.33333e-05,0.000196
2.66667e-05,0,2.66667e-05,0.000199
0,1.6e-05,1.6e-05,0.000202
1.33333e-05,1.6e-05,2.93333e-05,0.000205
0,0,0,0.000208
1.33333e-05,0,1.33333e-05,0.000211
1.33333e-05,0,1.33333e-05,0.000214
1.33333e-05,1.6e-05,2.93333e-05,0.000217
0,1.6e-05,1.6e-05,0.00022
1.33333e-05,1.6e-05,2.93333e-05,0.000223
0,0,0,0.000226
1.33333e-05,0,1.33333e-05,0.000229
0,1.6e-05,1.6e-05,0.000232
0,1.6e-05,1.6e-05,0.000235
0,1.6e-05,1.6e-05,0.000238
2.66667e-05,0,2.66667e-05,0.000241
1.33333e-05,0,1.33333e-05,0.000244
1.33333e-05,0,1.33333e-05,0.000247
1.33333e-05,0,1.33333e-05,0.00025
1.33333e-05,1.6e-05,2.93333e-05,0.000253
0,0,0,0.000256
1.33333e-05,0,1.33333e-05,0.000259
0,0,0,0.000262
2.66667e-05,0,2.66667e-05,0.000265
0,1.6e-05,1.6e-05,0.000268
2.66667e-05,0,2.66667e-05,0.000271
0,1.6e-05,1.6e-05,0.000274
0,1.6e-05,1.6e-05,0.000277
0,0,0,0.00028
2.66667e-05,0,2.66667e-05,0.000283
0,1.6e-05,1.6e-05,0.000286
0,3.2e-05,3.2e-05,0.000289
1.33333e-05,0,1.33333e-05,0.000292
1.33333e-05,0,1.33333e-05,0.000295
0,0,0,0.000298
2.66667e-05,0,2.66667e-05,0.000301
1.33333e-05,0,1.33333e-05,0.000304
1.33333e-05,1.6e-05,2.93333e-05,0.000307
0,1.6e-05,1.6e-05,0.00031
2.66667e-05,0,2.66667e-05,0.000313
0,1.6e-05,1.6e-05,0.000316
0,3.2e-05,3.2e-05,0.000319
0,1.6e-05,1.6e-05,0.000322
1.33333e-05,1.6e-05,2.93333e-05,0.000325
0,0,0,0.000328
0,1.6e-05,1.6e-05,0.000331
1.33333e-05,0,1.33333e-05,0.000334
2.66667e-05,0,2.66667e-05,0.000337
1.33333e-05,0,1.33333e-05,0.00034
2.66667e-05,0,2.66667e-05,0.000343
0,0,0,0.000346
0,1.6e-05,1.6e-05,0.000349
1.33333e-05,0,1.33333e-05,0.000352
0,3.2e-05,3.2e-05,0.000355
0,1.6e-05,1.6e-05,0.000358
0,3.2e-05,3.2e-05,0.000361
0,0,0,0.000364
0,1.6e-05,1.6e-05,0.000367
1.33333e-05,0,1.33333e-05,0.00037
2.66667e-05,0,2.66667e-05,0.000373
0,1.6e-05,1.6e-05,0.000376
2.66667e-05,0,2.66667e-05,0.000379
0,0,0,0.000382
0,1.6e-05,1.6e-05,0.000385
1.33333e-05,0,1.33333e-05,0.000388
1.33333e-05,1.6e-05,2.93333e-05,0.000391
1.33333e-05,0,1.33333e-05,0.000394
1.33333e-05,1.6e-05,2.93333e-05,0.000397
0,0,0,0.0004
0,1.6e-05,1.6e-05,0.000403
1.33333e-05,0,1.33333e-05,0.000406
0,3.2e-05,3.2e-05,0.000409
1.33333e-05,0,1.33333e-05,0.000412
1.33333e-05,1.6e-05,2.93333e-05,0.000415
0,0,0,0.000418
1.33333e-05,0,1.33333e-05,0.000421
0,1.6e-05,1.6e-05,0.000424
1.33333e-05,1.6e-05,2.93333e-05,0.000427
1.33333e-05,0,1.33333e-05,0.00043
2.66667e-05,0,2.66667e-05,0.000433
0,0,0,0.000436
0,1.6e-05,1.6e-05,0.000439
1.33333e-05,0,1.33333e-05,0.000442
1.33333e-05,1.6e-05,2.93333e-05,0.000445
0,1.6e-05,1.6e-05,0.000448
1.33333e-05,1.6e-05,2.93333e-05,0.000451
0,0,0,0.000454
1.33333e-05,0,1.33333e-05,0.000457
1.33333e-05,0,1.33333e-05,0.00046
0,0,0,0.000463
