loadEvent,storeEvent,time(s)
4e-07,0,4e-07,1e-06
0,0,0,4e-06
4e-07,0,4e-07,7e-06
4e-07,0,4e-07,1e-05
8e-07,0,8e-07,1.3e-05
0,5.33333e-07,5.33333e-07,1.6e-05
4e-07,5.33333e-07,9.33333e-07,1.9e-05
0,0,0,2.2e-05
4e-07,0,4e-07,2.5e-05
0,5.33333e-07,5.33333e-07,2.8e-05
8e-07,0,8e-07,3.1e-05
0,5.33333e-07,5.33333e-07,3.4e-05
0,1.06667e-06,1.06667e-06,3.7e-05
0,0,0,4e-05
0,5.33333e-07,5.33333e-07,4.3e-05
0,5.33333e-07,5.33333e-07,4.6e-05
4e-07,5.33333e-07,9.33333e-07,4.9e-05
4e-07,0,4e-07,5.2e-05
4e-07,5.33333e-07,9.33333e-07,5.5e-05
0,0,0,5.8e-05
4e-07,0,4e-07,6.1e-05
4e-07,0,4e-07,6.4e-05
4e-07,5.33333e-07,9.33333e-07,6.7e-05
0,5.33333e-07,5.33333e-07,7e-05
4e-07,5.33333e-07,9.33333e-07,7.3e-05
0,0,0,7.6e-05
0,5.33333e-07,5.33333e-07,7.9e-05
0,5.33333e-07,5.33333e-07,8.2e-05
4e-07,0,4e-07,8.5e-05
0,0,0,8.8e-05
4e-07,0,4e-07,9.1e-05
0,0,0,9.4e-05
0,0,0,9.7e-05
0,5.33333e-07,5.33333e-07,0.0001
0,5.33333e-07,5.33333e-07,0.000103
0,0,0,0.000106
0,5.33333e-07,5.33333e-07,0.000109
0,0,0,0.000112
0,0,0,0.000115
0,5.33333e-07,5.33333e-07,0.000118
4e-07,0,4e-07,0.000121
0,0,0,0.000124
0,5.33333e-07,5.33333e-07,0.000127
0,5.33333e-07,5.33333e-07,0.00013
0,5.33333e-07,5.33333e-07,0.000133
0,5.33333e-07,5.33333e-07,0.000136
4e-07,0,4e-07,0.000139
4e-07,0,4e-07,0.000142
0,0,0,0.000145
0,5.33333e-07,5.33333e-07,0.000148
0,5.33333e-07,5.33333e-07,0.000151
4e-07,0,4e-07,0.000154
8e-07,0,8e-07,0.000157
4e-07,0,4e-07,0.00016
0,0,0,0.000163
4e-07,0,4e-07,0.000166
0,1.06667e-06,1.06667e-06,0.000169
0,5.33333e-07,5.33333e-07,0.000172
8e-07,0,8e-07,0.000175
4e-07,0,4e-07,0.000178
4e-07,0,4e-07,0.000181
4e-07,0,4e-07,0.000184
8e-07,0,8e-07,0.000187
0,5.33333e-07,5.33333e-07,0.00019
0,5.33333e-07,5.33333e-07,0.000193
4e-07,0,4e-07,0.000196
0,5.33333e-07,5.33333e-07,0.000199
4e-07,0,4e-07,0.000202
4e-07,5.33333e-07,9.33333e-07,0.000205
4e-07,0,4e-07,0.000208
4e-07,0,4e-07,0.000211
0,5.33333e-07,5.33333e-07,0.000214
4e-07,0,4e-07,0.000217
4e-07,0,4e-07,0.00022
4e-07,5.33333e-07,9.33333e-07,0.000223
4e-07,0,4e-07,0.000226
4e-07,0,4e-07,0.000229
0,5.33333e-07,5.33333e-07,0.000232
