moduleID,module_current,time(s)
cpu0,1.11111e+07,5.1e-07
mem0,4.44444e+06,5.1e-07
mem1,5.55556e+06,5.1e-07
cpu0,1.22222e+08,5.2e-07
mem0,6.66667e+06,5.2e-07
mem1,5.55556e+06,5.2e-07
cpu0,1.11111e+07,5.3e-07
mem0,4.44444e+06,5.3e-07
mem1,5.55556e+06,5.3e-07
cpu0,1.11111e+07,5.4e-07
mem0,4.44444e+06,5.4e-07
mem1,5.55556e+06,5.4e-07
cpu0,1.11111e+07,5.5e-07
mem0,4.44444e+06,5.5e-07
mem1,5.55556e+06,5.5e-07
cpu0,1.11111e+07,5.6e-07
mem0,4.44444e+06,5.6e-07
mem1,5.55556e+06,5.6e-07
cpu0,6.66667e+07,5.7e-07
mem0,5.33333e+06,5.7e-07
mem1,5.55556e+06,5.7e-07
cpu0,1.11111e+07,5.8e-07
mem0,4.44444e+06,5.8e-07
mem1,5.55556e+06,5.8e-07
cpu0,1.11111e+07,5.9e-07
mem0,4.44444e+06,5.9e-07
mem1,5.55556e+06,5.9e-07
cpu0,1.11111e+07,6e-07
mem0,4.44444e+06,6e-07
mem1,5.55556e+06,6e-07
cpu0,1.11111e+07,6.1e-07
mem0,4.44444e+06,6.1e-07
mem1,5.55556e+06,6.1e-07
cpu0,6.66667e+07,6.2e-07
mem0,4.44444e+06,6.2e-07
mem1,7.22222e+06,6.2e-07
cpu0,1.11111e+07,6.3e-07
mem0,4.44444e+06,6.3e-07
mem1,5.55556e+06,6.3e-07
cpu0,1.11111e+07,6.4e-07
mem0,4.44444e+06,6.4e-07
mem1,5.55556e+06,6.4e-07
cpu0,1.11111e+07,6.5e-07
mem0,4.44444e+06,6.5e-07
mem1,5.55556e+06,6.5e-07
cpu0,1.11111e+07,6.6e-07
mem0,4.44444e+06,6.6e-07
mem1,5.55556e+06,6.6e-07
cpu0,1.22222e+08,6.7e-07
mem0,6.66667e+06,6.7e-07
mem1,5.55556e+06,6.7e-07
cpu0,1.11111e+07,6.8e-07
mem0,4.44444e+06,6.8e-07
mem1,5.55556e+06,6.8e-07
cpu0,1.11111e+07,6.9e-07
mem0,4.44444e+06,6.9e-07
mem1,5.55556e+06,6.9e-07
cpu0,1.11111e+07,7e-07
mem0,4.44444e+06,7e-07
mem1,5.55556e+06,7e-07
cpu0,1.11111e+07,7.1e-07
mem0,4.44444e+06,7.1e-07
mem1,5.55556e+06,7.1e-07
cpu0,3.33333e+08,7.2e-07
mem0,4.44444e+06,7.2e-07
mem1,1e+07,7.2e-07
cpu0,2.22222e+08,7.3e-07
mem0,4.44444e+06,7.3e-07
mem1,5.55556e+06,7.3e-07
cpu0,2.22222e+08,7.4e-07
mem0,4.44444e+06,7.4e-07
mem1,5.55556e+06,7.4e-07
cpu0,2.22222e+08,7.5e-07
mem0,4.44444e+06,7.5e-07
mem1,5.55556e+06,7.5e-07
cpu0,2.22222e+08,7.6e-07
mem0,4.44444e+06,7.6e-07
mem1,5.55556e+06,7.6e-07
cpu0,3.33333e+08,7.7e-07
mem0,6.66667e+06,7.7e-07
mem1,5.55556e+06,7.7e-07
cpu0,2.22222e+08,7.8e-07
mem0,4.44444e+06,7.8e-07
mem1,5.55556e+06,7.8e-07
cpu0,2.22222e+08,7.9e-07
mem0,4.44444e+06,7.9e-07
mem1,5.55556e+06,7.9e-07
cpu0,2.22222e+08,8e-07
mem0,4.44444e+06,8e-07
mem1,5.55556e+06,8e-07
cpu0,2.22222e+08,8.1e-07
