top.pd1.cpu0,time(s)
2.6e-06,0,1e-06
2.6e-06,0,4e-06
2.6e-06,0,7e-06
1.3e-06,0,1e-05
1.3e-06,0,1.3e-05
1.3e-06,0,1.6e-05
1.3e-06,0,1.9e-05
1.3e-06,0,2.2e-05
1.3e-06,0,2.5e-05
1.3e-06,0,2.8e-05
1.3e-06,0,3.1e-05
1.73333e-06,0,3.4e-05
2.6e-06,0,3.7e-05
2.6e-06,0,4e-05
2.6e-06,0,4.3e-05
2.6e-06,0,4.6e-05
2.6e-06,0,4.9e-05
2.6e-06,0,5.2e-05
2.6e-06,0,5.5e-05
2.6e-06,0,5.8e-05
2.6e-06,0,6.1e-05
2.6e-06,0,6.4e-05
1.73333e-06,0,6.7e-05
1.3e-06,0,7e-05
1.3e-06,0,7.3e-05
1.3e-06,0,7.6e-05
1.3e-06,0,7.9e-05
2.6e-06,0,8.2e-05
2.6e-06,0,8.5e-05
2.6e-06,0,8.8e-05
2.6e-06,0,9.1e-05
2.6e-06,0,9.4e-05
2.6e-06,0,9.7e-05
2.6e-06,0,0.0001
2.6e-06,0,0.000103
2.6e-06,0,0.000106
2.6e-06,0,0.000109
2.16667e-06,0,0.000112
2.6e-06,0,0.000115
2.6e-06,0,0.000118
2.6e-06,0,0.000121
2.6e-06,0,0.000124
2.6e-06,0,0.000127
1.73333e-06,0,0.00013
2.6e-06,0,0.000133
2.6e-06,0,0.000136
2.6e-06,0,0.000139
2.6e-06,0,0.000142
2.6e-06,0,0.000145
2.6e-06,0,0.000148
2.6e-06,0,0.000151
2.6e-06,0,0.000154
1.73333e-06,0,0.000157
1.3e-06,0,0.00016
1.73333e-06,0,0.000163
2.6e-06,0,0.000166
2.16667e-06,0,0.000169
2.6e-06,0,0.000172
2.6e-06,0,0.000175
2.16667e-06,0,0.000178
2.6e-06,0,0.000181
2.6e-06,0,0.000184
2.6e-06,0,0.000187
2.6e-06,0,0.00019
2.6e-06,0,0.000193
2.6e-06,0,0.000196
2.6e-06,0,0.000199
2.6e-06,0,0.000202
2.6e-06,0,0.000205
2.6e-06,0,0.000208
2.6e-06,0,0.000211
2.6e-06,0,0.000214
2.6e-06,0,0.000217
2.6e-06,0,0.00022
2.6e-06,0,0.000223
2.6e-06,0,0.000226
1.73333e-06,0,0.000229
1.3e-06,0,0.000232
1.3e-06,0,0.000235
1.3e-06,0,0.000238
1.3e-06,0,0.000241
1.3e-06,0,0.000244
1.3e-06,0,0.000247
1.3e-06,0,0.00025
2.6e-06,0,0.000253
2.6e-06,0,0.000256
1.73333e-06,0,0.000259
1.3e-06,0,0.000262
1.3e-06,0,0.000265
1.3e-06,0,0.000268
1.3e-06,0,0.000271
1.3e-06,0,0.000274
1.3e-06,0,0.000277
1.3e-06,0,0.00028
1.3e-06,0,0.000283
1.3e-06,0,0.000286
2.6e-06,0,0.000289
2.6e-06,0,0.000292
2.6e-06,0,0.000295
2.6e-06,0,0.000298
2.6e-06,0,0.000301
2.6e-06,0,0.000304
2.6e-06,0,0.000307
1.73333e-06,0,0.00031
2.16667e-06,0,0.000313
2.6e-06,0,0.000316
1.3e-06,0,0.000319
1.3e-06,0,0.000322
1.3e-06,0,0.000325
1.3e-06,0,0.000328
1.3e-06,0,0.000331
1.3e-06,0,0.000334
1.3e-06,0,0.000337
2.16667e-06,0,0.00034
2.6e-06,0,0.000343
2.6e-06,0,0.000346
2.6e-06,0,0.000349
2.6e-06,0,0.000352
2.6e-06,0,0.000355
2.6e-06,0,0.000358
2.6e-06,0,0.000361
2.6e-06,0,0.000364
2.6e-06,0,0.000367
2.6e-06,0,0.00037
2.6e-06,0,0.000373
2.6e-06,0,0.000376
2.6e-06,0,0.000379
2.6e-06,0,0.000382
2.6e-06,0,0.000385
2.6e-06,0,0.000388
2.6e-06,0,0.000391
2.6e-06,0,0.000394
2.6e-06,0,0.000397
2.6e-06,0,0.0004
2.6e-06,0,0.000403
1.73333e-06,0,0.000406
1.3e-06,0,0.000409
1.3e-06,0,0.000412
1.3e-06,0,0.000415
1.3e-06,0,0.000418
1.3e-06,0,0.000421
1.3e-06,0,0.000424
1.3e-06,0,0.000427
1.73333e-06,0,0.00043
2.6e-06,0,0.000433
2.6e-06,0,0.000436
2.6e-06,0,0.000439
2.6e-06,0,0.000442
2.6e-06,0,0.000445
2.6e-06,0,0.000448
2.6e-06,0,0.000451
2.6e-06,0,0.000454
1.73333e-06,0,0.000457
1.3e-06,0,0.00046
1.3e-06,0,0.000463
1.3e-06,0,0.000466
1.3e-06,0,0.000469
1.3e-06,0,0.000472
1.3e-06,0,0.000475
1.3e-06,0,0.000478
1.3e-06,0,0.000481
1.3e-06,0,0.000484
1.3e-06,0,0.000487
1.3e-06,0,0.00049
1.3e-06,0,0.000493
1.3e-06,0,0.000496
