top.pd1.mem0,time(s)
3.64e-05,0,1e-06
3.64e-05,0,4e-06
3.64e-05,0,7e-06
2.68667e-05,0,1e-05
2.21e-05,0,1.3e-05
2.21e-05,0,1.6e-05
2.21e-05,0,1.9e-05
2.21e-05,0,2.2e-05
2.21e-05,0,2.5e-05
2.21e-05,0,2.8e-05
2.21e-05,0,3.1e-05
2.21e-05,0,3.4e-05
2.21e-05,0,3.7e-05
2.21e-05,0,4e-05
2.21e-05,0,4.3e-05
3.64e-05,0,4.6e-05
3.64e-05,0,4.9e-05
3.64e-05,0,5.2e-05
3.64e-05,0,5.5e-05
3.64e-05,0,5.8e-05
3.64e-05,0,6.1e-05
3.64e-05,0,6.4e-05
3.64e-05,0,6.7e-05
3.64e-05,0,7e-05
3.64e-05,0,7.3e-05
3.64e-05,0,7.6e-05
3.64e-05,0,7.9e-05
3.64e-05,0,8.2e-05
3.64e-05,0,8.5e-05
3.64e-05,0,8.8e-05
3.64e-05,0,9.1e-05
3.64e-05,0,9.4e-05
3.64e-05,0,9.7e-05
3.64e-05,0,0.0001
3.64e-05,0,0.000103
3.64e-05,0,0.000106
3.64e-05,0,0.000109
3.64e-05,0,0.000112
3.64e-05,0,0.000115
3.64e-05,0,0.000118
3.64e-05,0,0.000121
3.64e-05,0,0.000124
3.64e-05,0,0.000127
3.64e-05,0,0.00013
3.64e-05,0,0.000133
3.64e-05,0,0.000136
3.64e-05,0,0.000139
3.64e-05,0,0.000142
3.64e-05,0,0.000145
3.64e-05,0,0.000148
3.64e-05,0,0.000151
3.64e-05,0,0.000154
3.64e-05,0,0.000157
3.64e-05,0,0.00016
2.68667e-05,0,0.000163
2.21e-05,0,0.000166
2.21e-05,0,0.000169
2.68667e-05,0,0.000172
3.64e-05,0,0.000175
3.64e-05,0,0.000178
3.64e-05,0,0.000181
3.64e-05,0,0.000184
3.64e-05,0,0.000187
2.68667e-05,0,0.00019
2.21e-05,0,0.000193
2.21e-05,0,0.000196
3.16333e-05,0,0.000199
3.64e-05,0,0.000202
3.64e-05,0,0.000205
3.64e-05,0,0.000208
3.64e-05,0,0.000211
3.64e-05,0,0.000214
3.64e-05,0,0.000217
3.64e-05,0,0.00022
3.64e-05,0,0.000223
3.64e-05,0,0.000226
3.64e-05,0,0.000229
3.64e-05,0,0.000232
3.64e-05,0,0.000235
3.64e-05,0,0.000238
3.64e-05,0,0.000241
3.64e-05,0,0.000244
3.64e-05,0,0.000247
3.64e-05,0,0.00025
3.64e-05,0,0.000253
3.64e-05,0,0.000256
3.64e-05,0,0.000259
3.64e-05,0,0.000262
3.64e-05,0,0.000265
3.64e-05,0,0.000268
2.68667e-05,0,0.000271
3.16333e-05,0,0.000274
3.64e-05,0,0.000277
3.16333e-05,0,0.00028
2.21e-05,0,0.000283
2.21e-05,0,0.000286
2.21e-05,0,0.000289
2.21e-05,0,0.000292
2.21e-05,0,0.000295
2.21e-05,0,0.000298
2.21e-05,0,0.000301
2.21e-05,0,0.000304
2.21e-05,0,0.000307
2.21e-05,0,0.00031
2.21e-05,0,0.000313
2.21e-05,0,0.000316
2.21e-05,0,0.000319
2.21e-05,0,0.000322
2.21e-05,0,0.000325
2.21e-05,0,0.000328
2.21e-05,0,0.000331
2.21e-05,0,0.000334
2.21e-05,0,0.000337
2.21e-05,0,0.00034
2.68667e-05,0,0.000343
3.64e-05,0,0.000346
3.64e-05,0,0.000349
3.64e-05,0,0.000352
3.64e-05,0,0.000355
3.64e-05,0,0.000358
3.64e-05,0,0.000361
3.64e-05,0,0.000364
3.64e-05,0,0.000367
3.64e-05,0,0.00037
3.64e-05,0,0.000373
3.64e-05,0,0.000376
3.64e-05,0,0.000379
3.64e-05,0,0.000382
3.64e-05,0,0.000385
3.64e-05,0,0.000388
3.64e-05,0,0.000391
3.64e-05,0,0.000394
3.64e-05,0,0.000397
3.64e-05,0,0.0004
3.64e-05,0,0.000403
3.64e-05,0,0.000406
3.64e-05,0,0.000409
3.64e-05,0,0.000412
3.64e-05,0,0.000415
3.64e-05,0,0.000418
3.64e-05,0,0.000421
3.64e-05,0,0.000424
3.64e-05,0,0.000427
2.21e-05,0,0.00043
2.21e-05,0,0.000433
2.21e-05,0,0.000436
2.21e-05,0,0.000439
2.21e-05,0,0.000442
2.21e-05,0,0.000445
2.21e-05,0,0.000448
2.21e-05,0,0.000451
2.21e-05,0,0.000454
2.21e-05,0,0.000457
2.68667e-05,0,0.00046
3.64e-05,0,0.000463
3.64e-05,0,0.000466
3.64e-05,0,0.000469
2.68667e-05,0,0.000472
2.21e-05,0,0.000475
2.21e-05,0,0.000478
2.21e-05,0,0.000481
3.16333e-05,0,0.000484
3.64e-05,0,0.000487
3.16333e-05,0,0.00049
2.21e-05,0,0.000493
2.21e-05,0,0.000496
