top.pd1.mem1,time(s)
0.000156,0,1e-06
0.000156,0,4e-06
0.000156,0,7e-06
0.000156,0,1e-05
0.000156,0,1.3e-05
0.000156,0,1.6e-05
0.000156,0,1.9e-05
0.000156,0,2.2e-05
0.000156,0,2.5e-05
0.000156,0,2.8e-05
0.000156,0,3.1e-05
0.000156,0,3.4e-05
0.000156,0,3.7e-05
0.000104,0,4e-05
7.8e-05,0,4.3e-05
7.8e-05,0,4.6e-05
7.8e-05,0,4.9e-05
7.8e-05,0,5.2e-05
7.8e-05,0,5.5e-05
7.8e-05,0,5.8e-05
7.8e-05,0,6.1e-05
7.8e-05,0,6.4e-05
7.8e-05,0,6.7e-05
7.8e-05,0,7e-05
7.8e-05,0,7.3e-05
7.8e-05,0,7.6e-05
7.8e-05,0,7.9e-05
7.8e-05,0,8.2e-05
7.8e-05,0,8.5e-05
7.8e-05,0,8.8e-05
7.8e-05,0,9.1e-05
7.8e-05,0,9.4e-05
7.8e-05,0,9.7e-05
7.8e-05,0,0.0001
7.8e-05,0,0.000103
7.8e-05,0,0.000106
7.8e-05,0,0.000109
7.8e-05,0,0.000112
7.8e-05,0,0.000115
7.8e-05,0,0.000118
7.8e-05,0,0.000121
7.8e-05,0,0.000124
7.8e-05,0,0.000127
7.8e-05,0,0.00013
7.8e-05,0,0.000133
7.8e-05,0,0.000136
7.8e-05,0,0.000139
7.8e-05,0,0.000142
7.8e-05,0,0.000145
0.000156,0,0.000148
0.000156,0,0.000151
0.000156,0,0.000154
0.000156,0,0.000157
0.000156,0,0.00016
0.00013,0,0.000163
0.000156,0,0.000166
0.000156,0,0.000169
0.000156,0,0.000172
0.000156,0,0.000175
0.000156,0,0.000178
0.000156,0,0.000181
0.000156,0,0.000184
0.000156,0,0.000187
0.000156,0,0.00019
0.000156,0,0.000193
0.000156,0,0.000196
0.000156,0,0.000199
0.000156,0,0.000202
0.000156,0,0.000205
0.000156,0,0.000208
0.000156,0,0.000211
7.8e-05,0,0.000214
7.8e-05,0,0.000217
7.8e-05,0,0.00022
7.8e-05,0,0.000223
7.8e-05,0,0.000226
7.8e-05,0,0.000229
0.000156,0,0.000232
0.000156,0,0.000235
0.000156,0,0.000238
0.000156,0,0.000241
0.000156,0,0.000244
0.000156,0,0.000247
0.000156,0,0.00025
0.000156,0,0.000253
0.000156,0,0.000256
0.000156,0,0.000259
7.8e-05,0,0.000262
7.8e-05,0,0.000265
7.8e-05,0,0.000268
7.8e-05,0,0.000271
7.8e-05,0,0.000274
0.00013,0,0.000277
0.000156,0,0.00028
0.000156,0,0.000283
0.000156,0,0.000286
0.000156,0,0.000289
0.000156,0,0.000292
0.000156,0,0.000295
0.000156,0,0.000298
0.000156,0,0.000301
0.000156,0,0.000304
0.000156,0,0.000307
0.000156,0,0.00031
0.000156,0,0.000313
0.000156,0,0.000316
7.8e-05,0,0.000319
7.8e-05,0,0.000322
7.8e-05,0,0.000325
7.8e-05,0,0.000328
0.000104,0,0.000331
0.000156,0,0.000334
0.000156,0,0.000337
0.000156,0,0.00034
7.8e-05,0,0.000343
7.8e-05,0,0.000346
7.8e-05,0,0.000349
7.8e-05,0,0.000352
7.8e-05,0,0.000355
7.8e-05,0,0.000358
7.8e-05,0,0.000361
7.8e-05,0,0.000364
0.000104,0,0.000367
7.8e-05,0,0.00037
0.00013,0,0.000373
0.000156,0,0.000376
0.000156,0,0.000379
0.00013,0,0.000382
7.8e-05,0,0.000385
7.8e-05,0,0.000388
7.8e-05,0,0.000391
0.000156,0,0.000394
0.000156,0,0.000397
0.000156,0,0.0004
0.000156,0,0.000403
0.000156,0,0.000406
0.000156,0,0.000409
0.000104,0,0.000412
0.000156,0,0.000415
0.000156,0,0.000418
0.000104,0,0.000421
7.8e-05,0,0.000424
0.000104,0,0.000427
0.000156,0,0.00043
0.000156,0,0.000433
0.000156,0,0.000436
0.000156,0,0.000439
0.000156,0,0.000442
0.000156,0,0.000445
0.000156,0,0.000448
0.000156,0,0.000451
0.000156,0,0.000454
0.000156,0,0.000457
0.000156,0,0.00046
0.000156,0,0.000463
0.000156,0,0.000466
0.000156,0,0.000469
0.000156,0,0.000472
0.000104,0,0.000475
7.8e-05,0,0.000478
7.8e-05,0,0.000481
7.8e-05,0,0.000484
7.8e-05,0,0.000487
7.8e-05,0,0.00049
7.8e-05,0,0.000493
7.8e-05,0,0.000496
